District,Date,Normal Rainfall,Actual Rainfall,Storage,Min Level,Max Level,River Level,Total Population,Cluster,Cluster_Label
bagalkot,2015-01-01,0.007575757575757577,0.0023494233233660833,1.3046666666666669,1.06,1.52,2073.0,1889752.0,0,water_deficit
bagalkot,2015-02-01,0.011707988980716254,0.0,0.8582142857142859,0.68,1.03,2073.0,1889752.0,1,water_abundant
bagalkot,2015-03-01,0.03650137741046832,0.035326783425886375,0.4980645161290323,0.31,0.68,2073.0,1889752.0,1,water_abundant
bagalkot,2015-04-01,0.1652892561983471,0.22832123024348572,0.2686206896551724,0.25,0.3,2073.0,1889752.0,1,water_abundant
bagalkot,2015-05-01,0.400137741046832,0.19158479282357968,0.2100000000000001,0.18,0.25,2073.0,1889752.0,1,water_abundant
bagalkot,2015-06-01,0.5048209366391184,0.23255019222554466,0.34833333333333333,0.16,1.35,2073.0,1889752.0,0,water_deficit
bagalkot,2015-07-01,0.5241046831955922,0.06138402392140111,1.284838709677419,1.14,1.41,2073.0,1889752.0,0,water_deficit
bagalkot,2015-08-01,0.49104683195592286,0.2436565570269116,1.606451612903226,1.41,1.7,2075.0,1889752.0,0,water_deficit
bagalkot,2015-09-01,1.0,0.9029474583511321,1.4786666666666666,1.31,1.67,2075.0,1889752.0,1,water_abundant
bagalkot,2015-10-01,0.7017906336088154,0.282913284920974,1.507741935483871,1.22,1.65,2074.0,1889752.0,0,water_deficit
bagalkot,2015-11-01,0.19077134986225897,0.030585219991456646,0.9093333333333334,0.62,1.2,2075.0,1889752.0,1,water_abundant
bagalkot,2015-12-01,0.044765840220385676,0.00021358393848782575,0.5049999999999998,0.44,0.61,2074.0,1889752.0,1,water_abundant
bagalkot,2016-01-01,0.007575757575757577,0.0010252029047415636,0.4196666666666668,0.4,0.44,2074.0,1889752.0,1,water_abundant
bagalkot,2016-02-01,0.011707988980716254,4.271678769756515e-05,0.376206896551724,0.35,0.4,2074.0,1889752.0,1,water_abundant
bagalkot,2016-03-01,0.03650137741046832,0.008372490388722769,0.2954838709677418,0.25,0.35,2073.0,1889752.0,1,water_abundant
bagalkot,2016-04-01,0.1652892561983471,0.07240495514737293,0.20785714285714296,0.15,0.24,2073.0,1889752.0,1,water_abundant
bagalkot,2016-05-01,0.400137741046832,0.17911149081589067,0.08129032258064514,0.04,0.15,2073.0,1889752.0,1,water_abundant
bagalkot,2016-06-01,0.5048209366391184,0.4436992738146092,0.04233333333333335,0.03,0.05,2073.0,1889752.0,1,water_abundant
bagalkot,2016-07-01,0.5241046831955922,0.38932080307560873,1.843225806451613,0.05,3.11,2073.0,1889752.0,0,water_deficit
bagalkot,2016-08-01,0.49104683195592286,0.15988893635198634,2.9538709677419352,2.51,3.11,2073.0,1889752.0,0,water_deficit
bagalkot,2016-09-01,1.0,0.39222554463904313,3.0959999999999996,2.99,3.11,2074.0,1889752.0,0,water_deficit
bagalkot,2016-10-01,0.7017906336088154,0.06364801366937207,3.0377419354838713,2.68,3.11,2073.0,1889752.0,0,water_deficit
bagalkot,2016-11-01,0.19077134986225897,0.0011106364801366938,2.3040000000000003,2.01,2.65,2072.0,1889752.0,0,water_deficit
bagalkot,2016-12-01,0.044765840220385676,0.001708671507902606,1.7453333333333338,1.2,1.98,2072.0,1889752.0,0,water_deficit
bagalkot,2017-01-01,0.007575757575757577,0.0,0.9713333333333334,0.69,1.17,2072.0,1889752.0,1,water_abundant
bagalkot,2017-02-01,0.011707988980716254,0.0,0.4357142857142855,0.25,0.69,2072.0,1889752.0,1,water_abundant
bagalkot,2017-03-01,0.03650137741046832,0.035583084152071766,0.1287096774193548,0.01,0.25,2072.0,1889752.0,1,water_abundant
bagalkot,2017-04-01,0.1652892561983471,0.03276377616403247,0.001,0.0,0.01,2072.0,1889752.0,1,water_abundant
bagalkot,2017-05-01,0.400137741046832,0.1497650576676634,0.0,0.0,0.0,2072.0,1889752.0,1,water_abundant
bagalkot,2017-06-01,0.5048209366391184,0.36736437419906026,0.0016666666666666668,0.0,0.05,2072.0,1889752.0,1,water_abundant
bagalkot,2017-07-01,0.5241046831955922,0.08722768047842804,1.334516129032258,0.11,3.1,2072.0,1889752.0,0,water_deficit
bagalkot,2017-08-01,0.49104683195592286,0.2131567706108501,3.0674193548387096,2.95,3.11,2073.0,1889752.0,0,water_deficit
bagalkot,2017-09-01,1.0,0.7060657838530543,3.1093333333333333,3.09,3.11,2076.0,1889752.0,0,water_deficit
bagalkot,2017-10-01,0.7017906336088154,0.5326783425886374,3.11,3.11,3.11,2073.0,1889752.0,0,water_deficit
bagalkot,2017-11-01,0.19077134986225897,0.008842375053395985,2.869666666666666,2.45,3.11,2073.0,1889752.0,0,water_deficit
bagalkot,2017-12-01,0.044765840220385676,0.0065783853054250324,2.2164516129032252,1.88,2.45,2072.0,1889752.0,0,water_deficit
bagalkot,2018-01-01,0.007575757575757577,0.0,1.587666666666667,1.38,1.87,2072.0,1889752.0,0,water_deficit
bagalkot,2018-02-01,0.011707988980716254,0.014480991029474585,1.1024999999999998,0.98,1.37,1551.0,1889752.0,0,water_deficit
bagalkot,2018-03-01,0.03650137741046832,0.006023067065356685,0.6753333333333332,0.4,0.97,2067.0,1889752.0,1,water_abundant
bagalkot,2018-04-01,0.1652892561983471,0.12849209739427594,0.35068965517241374,0.32,0.39,1547.0,1889752.0,1,water_abundant
bagalkot,2018-05-01,0.400137741046832,0.3775736864587783,0.3003703703703704,0.28,0.32,1547.0,1889752.0,1,water_abundant
bagalkot,2018-06-01,0.5048209366391184,0.32554463904314396,0.2980769230769231,0.27,0.5,2068.0,1889752.0,1,water_abundant
bagalkot,2018-07-01,0.5241046831955922,0.17923964117898336,1.9900000000000002,0.59,3.06,2077.0,1889752.0,0,water_deficit
bagalkot,2018-08-01,0.49104683195592286,0.22080307560871423,3.0831034482758612,2.99,3.11,1558.0,1889752.0,0,water_deficit
bagalkot,2018-09-01,1.0,0.23383169585647162,2.9956666666666667,2.72,3.11,1557.0,1889752.0,0,water_deficit
bagalkot,2018-10-01,0.7017906336088154,0.11272960273387443,2.2270967741935497,1.72,2.69,1554.0,1889752.0,0,water_deficit
bagalkot,2018-11-01,0.19077134986225897,0.007518154634771466,1.5900000000000003,1.48,1.7,1554.0,1889752.0,0,water_deficit
bagalkot,2018-12-01,0.044765840220385676,0.0001708671507902606,1.3499999999999999,1.27,1.47,1552.0,1889752.0,0,water_deficit
bagalkot,2019-01-01,0.007575757575757577,0.0012387868432293893,1.1706451612903226,1.09,1.27,1550.0,1889752.0,0,water_deficit
bagalkot,2019-02-01,0.0,0.0,1.01,0.95,1.09,1548.0,1889752.0,1,water_abundant
bagalkot,2019-03-01,0.0,0.003246475865014951,0.8193548387096776,0.71,0.95,1546.0,1889752.0,1,water_abundant
bagalkot,2019-04-01,0.0,0.13280649295173005,0.6317241379310345,0.52,0.71,1543.0,1889752.0,1,water_abundant
bagalkot,2019-05-01,0.0,0.15019222554463904,0.3964516129032257,0.32,0.52,1581.0,1889752.0,1,water_abundant
bagalkot,2019-06-01,0.5048209366391184,0.5299017513882956,0.27533333333333326,0.25,0.31,1580.0,1889752.0,0,water_deficit
bagalkot,2019-07-01,0.5241046831955922,0.3313968389577104,2.066551724137931,0.25,3.02,1580.0,1889752.0,0,water_deficit
bagalkot,2019-08-01,0.49104683195592286,0.2979923109782145,2.7006451612903226,2.07,3.11,2117.0,1889752.0,0,water_deficit
bagalkot,2019-09-01,1.0,0.6871849636907306,2.9815384615384612,2.38,3.11,1832.0,1889752.0,0,water_deficit
bagalkot,2019-10-01,0.7017906336088154,1.0,3.095,2.93,3.11,1567.0,1889752.0,0,water_deficit
bagalkot,2019-11-01,0.19077134986225897,0.15185818026484407,3.11,3.11,3.11,1567.0,1889752.0,0,water_deficit
bagalkot,2019-12-01,0.044765840220385676,0.011149081589064504,2.8638709677419345,2.61,3.11,1566.0,1889752.0,0,water_deficit
bagalkot,2020-01-01,0.0,0.0,2.213103448275862,1.91,2.61,1565.0,1889752.0,0,water_deficit
bangalore(district),2015-01-01,0.012672811059907835,0.05983804407069999,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2015-02-01,0.04205069124423963,0.0,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2015-03-01,0.05011520737327189,0.17698357081678737,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2015-04-01,0.2079493087557604,0.6330296659658958,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2015-05-01,0.6008064516129032,0.45954994938877214,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2015-06-01,0.4026497695852535,0.2881725453554465,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2015-07-01,0.5460829493087558,0.195943315424745,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2015-08-01,0.7275345622119815,0.38631939577980223,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2015-09-01,1.0,0.7807755197383789,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2015-10-01,0.8410138248847927,0.6122401308105583,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2015-11-01,0.3127880184331797,1.0,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2015-12-01,0.10023041474654378,0.029860624464688935,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2016-01-01,0.012672811059907835,0.010667289574087052,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2016-02-01,0.04205069124423963,0.0,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2016-03-01,0.05011520737327189,0.09701783072490852,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2016-04-01,0.2079493087557604,0.020361286303823094,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2016-05-01,0.6008064516129032,0.6199096784240442,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2016-06-01,0.4026497695852535,0.6461885852215214,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2016-07-01,0.5460829493087558,0.8452464377481897,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2016-08-01,0.7275345622119815,0.1870668846842638,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2016-09-01,1.0,0.12948688001245814,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2016-10-01,0.8410138248847927,0.10768512029899556,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2016-11-01,0.3127880184331797,0.010823016429183211,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2016-12-01,0.10023041474654378,0.3143735887253757,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2017-01-01,0.012672811059907835,0.0008564977030288873,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2017-02-01,0.04205069124423963,0.0,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2017-03-01,0.05011520737327189,0.07108930935139765,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2017-04-01,0.2079493087557604,0.04115082145916063,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2017-05-01,0.6008064516129032,0.4388772093747567,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2017-06-01,0.4026497695852535,0.0602273612084404,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2017-07-01,0.5460829493087558,0.09117807365880247,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2017-08-01,0.7275345622119815,0.7078564198396013,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2017-09-01,1.0,0.9882036907264659,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2017-10-01,0.8410138248847927,0.47414934205403725,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2017-11-01,0.3127880184331797,0.039943938332165384,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2017-12-01,0.10023041474654378,0.0,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2018-01-01,0.012672811059907835,0.0,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2018-02-01,0.04205069124423963,0.008954294168029276,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2018-03-01,0.05011520737327189,0.11636689247060655,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2018-04-01,0.2079493087557604,0.09331931791637467,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2018-05-01,0.6008064516129032,0.6535856108385891,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2018-06-01,0.4026497695852535,0.25979132601417115,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2018-07-01,0.5460829493087558,0.15093825430195437,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2018-08-01,0.7275345622119815,0.31413999844273144,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2018-09-01,1.0,0.45849879311687297,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2018-10-01,0.8410138248847927,0.30767733395624075,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2018-11-01,0.3127880184331797,0.02845908276882348,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2018-12-01,0.10023041474654378,0.031378961301876514,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2019-01-01,0.012672811059907835,0.013275714396947753,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2019-02-01,0.0,0.1748423265592151,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,water_abundant
bangalore(district),2019-04-01,0.0,0.23911858600015573,0.0,0.0,0.0,0.0,0.0,1,water_abundant
